"ID","FILE_ID","CREDIT_APPROVAL_CODE","PROFILE","FILE_NAME","DATE_UPDATED","USER_NAME","TITLE","STATUS","DOCTYPE_ID","TRANGTHAI_SOHOA","TEMOS_ID","OS_ID","CIF","USER_APPROVAL","ERROR_COUNT","ROOT_CODE"
23,"idd_2094C086-0000-CF1E-B8D5-697E966BBAE1","PCA0014911","GHS_06","36ECO - HOUSEWORK.pdf",08-03-2023 16:30:28,"RM_CN1","Cán b? quan h? khách hàng",1,"","CHUASOHOA","","","893434","",0,"PCA0014911"
24,"idd_4094C086-0000-CC13-90EA-2AFAA3958903","PCA0014911","GHS_08","36ECO - CLOTHES.pdf",08-03-2023 16:30:34,"RM_CN1","Cán b? quan h? khách hàng",1,"","CHUASOHOA","","","893434","",0,"PCA0014911"
25,"idd_5094C086-0000-C413-AB2B-CBAE1B12FD9F","PCA0014911","GHS_03","b5.png",08-03-2023 16:30:41,"RM_CN1","Cán b? quan h? khách hàng",1,"","CHUASOHOA","","","893434","",0,"PCA0014911"
26,"idd_7094C086-0000-C814-8F93-53BD10000EB9","PCA0014911","GHS_01","B2G.png",08-03-2023 16:30:47,"RM_CN1","Cán b? quan h? khách hàng",1,"","CHUASOHOA","","","893434","",0,"PCA0014911"
44,"idd_80C77D87-0000-C23A-9043-A1F48683DC2F","PCA0015687","GHS_09","SAALEM_BIDV_LOS.BR002_Approval-Conditions_v6.5_230213_NHAO.xlsx",14-04-2023 10:19:31,"AM2_CN1","Cán b? phê duy?t",1,"","CHUASOHOA","","","11840329","U0012661",0,"PCA0015687"
45,"idd_B0C77D87-0000-C51D-ACF2-E1216FAD9245","PCA0015687","GHS_07","SAALEM_BIDV_LOS.BR002_Approval-Conditions_v6.5_230213_NHAO.xlsx",14-04-2023 10:19:42,"AM2_CN1","Cán b? phê duy?t",1,"","CHUASOHOA","","","11840329","U0012661",0,"PCA0015687"
46,"idd_E0C77D87-0000-C411-8E13-F1C06BA4E6BC","PCA0015687","GHS_06","SAALEM_BIDV_LOS.BR002_Approval-Conditions_v6.5_230213_NHAO.xlsx",14-04-2023 10:19:53,"AM2_CN1","Cán b? phê duy?t",1,"","CHUASOHOA","","","11840329","U0012661",0,"PCA0015687"
61,"idd_00EFA989-0000-CB19-B70B-1410525795A3","PCA0015877","GHS_01","ccolsimap.txt",31-07-2023 10:12:43,"bpmadmin","Cán b? quan h? khách hàng",1,"","CHUASOHOA","","","1019","U0012657",0,"PCA0015877"
63,"idd_2018B089-0000-CE1C-ADAA-D713AD9509AF","PCA0015877","GHS_01","Báo cáo IBM BPM.docx",01-08-2023 15:28:05,"RM_CN1","Cán b? quan h? khách hàng",-1,"","CHUASOHOA","","","1019","U0012657",0,"PCA0015877"
162,"idd_60B9AA8C-0000-C91A-A6C0-53D2E2E125F7","PCA0017150","GHS_03","BIDV-1499.txt",27-12-2023 17:02:08,"RM_CN1","Cán b? quan h? khách hàng",1,"","CHUASOHOA","","","","",0,""
